timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-06 01:26:25,EGV,,5.2,,,5185.0
2025-12-06 01:31:26,EGV,,5.0,,,5486.0
2025-12-06 01:36:26,EGV,,5.0,,,5786.0
2025-12-06 01:41:26,EGV,,5.0,,,6086.0
2025-12-06 01:46:26,EGV,,5.0,,,6386.0
2025-12-06 01:51:26,EGV,,4.3,,,6686.0
2025-12-06 01:56:25,EGV,,4.3,,,6985.0
2025-12-06 02:01:25,EGV,,5.0,,,7285.0
2025-12-06 02:06:25,EGV,,4.8,,,7585.0
2025-12-06 02:11:25,EGV,,4.7,,,7885.0
2025-12-06 02:16:25,EGV,,4.7,,,8185.0
2025-12-06 02:21:26,EGV,,4.8,,,8486.0
2025-12-06 02:26:25,EGV,,4.7,,,8785.0
2025-12-06 02:31:25,EGV,,4.7,,,9085.0
2025-12-06 02:36:25,EGV,,4.7,,,9385.0
2025-12-06 02:41:26,EGV,,4.9,,,9686.0
2025-12-06 02:46:25,EGV,,4.7,,,9985.0
2025-12-06 02:51:26,EGV,,4.8,,,10286.0
2025-12-06 02:56:26,EGV,,4.8,,,10586.0
2025-12-06 03:01:26,EGV,,4.2,,,10886.0
2025-12-06 03:06:25,EGV,,4.3,,,11185.0
2025-12-06 03:11:26,EGV,,4.4,,,11486.0
2025-12-06 03:16:25,EGV,,4.4,,,11785.0
2025-12-06 03:21:26,EGV,,5.1,,,12086.0
2025-12-06 03:26:26,EGV,,5.3,,,12386.0
2025-12-06 03:31:25,EGV,,5.0,,,12685.0
2025-12-06 03:36:26,EGV,,5.0,,,12986.0
2025-12-06 03:41:25,EGV,,5.0,,,13285.0
2025-12-06 03:46:26,EGV,,5.0,,,13586.0
2025-12-06 03:51:25,EGV,,5.1,,,13885.0
2025-12-06 03:56:25,EGV,,4.7,,,14185.0
2025-12-06 04:01:26,EGV,,4.4,,,14486.0
2025-12-06 04:06:25,EGV,,4.8,,,14785.0
2025-12-06 04:11:25,EGV,,4.7,,,15085.0
2025-12-06 04:16:25,EGV,,4.7,,,15385.0
2025-12-06 04:21:26,EGV,,4.8,,,15686.0
2025-12-06 04:26:25,EGV,,4.9,,,15985.0
2025-12-06 04:31:25,EGV,,4.6,,,16285.0
2025-12-06 04:36:25,EGV,,4.7,,,16585.0
2025-12-06 04:41:25,EGV,,5.3,,,16885.0
2025-12-06 04:46:26,EGV,,4.9,,,17186.0
2025-12-06 04:51:26,EGV,,4.6,,,17486.0
2025-12-06 04:56:25,EGV,,4.7,,,17785.0
2025-12-06 05:01:26,EGV,,4.8,,,18086.0
2025-12-06 05:06:26,EGV,,4.7,,,18386.0
2025-12-06 05:11:25,EGV,,4.5,,,18685.0
2025-12-06 05:16:26,EGV,,4.4,,,18986.0
2025-12-06 05:21:25,EGV,,4.5,,,19285.0
2025-12-06 05:26:26,EGV,,4.5,,,19586.0
2025-12-06 05:31:25,EGV,,4.3,,,19885.0
2025-12-06 05:36:26,EGV,,4.3,,,20186.0
2025-12-06 05:41:25,EGV,,4.4,,,20485.0
2025-12-06 05:46:25,EGV,,5.3,,,20785.0
2025-12-06 05:51:26,EGV,,5.0,,,21086.0
2025-12-06 05:56:26,EGV,,4.8,,,21386.0
2025-12-06 06:01:25,EGV,,4.8,,,21685.0
2025-12-06 06:06:26,EGV,,4.7,,,21986.0
2025-12-06 06:11:25,EGV,,4.7,,,22285.0
2025-12-06 06:16:25,EGV,,5.0,,,22585.0
2025-12-06 06:21:25,EGV,,5.1,,,22885.0
2025-12-06 06:26:25,EGV,,5.0,,,23185.0
2025-12-06 06:31:25,EGV,,5.2,,,23485.0
2025-12-06 06:36:26,EGV,,5.1,,,23786.0
2025-12-06 06:41:26,EGV,,5.0,,,24086.0
2025-12-06 06:46:25,EGV,,5.2,,,24385.0
2025-12-06 06:51:25,EGV,,5.1,,,24685.0
2025-12-06 06:56:26,EGV,,5.1,,,24986.0
2025-12-06 07:01:25,EGV,,5.2,,,25285.0
2025-12-06 07:06:25,EGV,,5.3,,,25585.0
2025-12-06 07:11:27,EGV,,5.3,,,25887.0
2025-12-06 07:16:25,EGV,,5.2,,,26185.0
2025-12-06 07:21:25,EGV,,5.4,,,26485.0
2025-12-06 07:26:25,EGV,,5.4,,,26785.0
2025-12-06 07:31:25,EGV,,5.3,,,27085.0
2025-12-06 07:36:25,EGV,,5.3,,,27385.0
2025-12-06 07:41:25,EGV,,5.2,,,27685.0
2025-12-06 07:46:26,EGV,,5.2,,,27986.0
2025-12-06 07:51:25,EGV,,5.2,,,28285.0
2025-12-06 07:56:25,EGV,,5.2,,,28585.0
2025-12-06 08:01:25,EGV,,5.2,,,28885.0
2025-12-06 08:06:25,EGV,,5.2,,,29185.0
